Threshold,FPR Upper Bound,FNR Upper Bound,Epsilon Lower Bound
-0.05680921101810957,0.9650525135482406,0.01039567102051907,1.9893595800858743
-0.04448434620192557,0.9347739700742974,0.01039567102051907,3.384181428648597
-0.03215948138574158,0.8677159015849701,0.01039567102051907,5.392812187672844
-0.01983461656955758,0.7497781341155154,0.01039567102051907,7.837543259510709
-0.007509751753373581,0.610617606615421,0.01039567102051907,10.187538721321596
0.0048151130628104055,0.43248423742157055,0.01039567102051907,13.08535515236852
0.017139977878994406,0.27991170453041614,0.01039567102051907,15.924663676097262
0.029464842695178406,0.18244131141832473,0.01039567102051907,18.267278359157896
0.041789707511362406,0.10605998778127694,0.01039567102051907,20.86143919271828
0.05411457232754638,0.05147902615780171,0.01039567102051907,23.91034300767648
0.941504839092794,0.01039567102051907,0.04042893756414624,24.855529172602072
0.953829703908978,0.01039567102051907,0.09947497056059378,21.147899961435943
0.966154568725162,0.01039567102051907,0.16683668558964979,18.71901036111579
0.978479433541346,0.01039567102051907,0.2558669281639438,16.44501088451962
0.99080429835753,0.01039567102051907,0.3861400998895865,13.887595351873204
1.003129163173714,0.01039567102051907,0.5519809366025792,11.129449104832885
1.015454027989898,0.01039567102051907,0.736357752961674,8.078810081675305
1.027778892806082,0.01039567102051907,0.8368477729652173,6.112022085121467
1.040103757622266,0.01039567102051907,0.9226872676470831,3.8186796807834993
1.05242862243845,0.01039567102051907,0.9716989915813633,1.5781886664065272
